anio;EMPRESA;TOTAL
04/2019;"TRANSPORTES SUR-NOR C.I.S.A.";1700753
04/2019;"TRANSPORTES UNIDOS DE MERLO S.A.C.I.I.";2495695
04/2019;"TRANSPORTES VILLA BOSCH SAC el";791441
04/2019;"TTES.AUTOMOTORES DE PASAJEROS SIGLO XXI SA";688121
04/2019;"UNION PLATENSE SRL";3126153
04/2019;"UNION TRANSITORIA COSA CIA TRANSPORTE VECINAL U.T.";962358
04/2019;"UNION TRANSPORTISTAS DE EMPRESAS SA";647640
04/2019;"UTENOR LINEA 723 UNION TRANSITORIA DE EMPRESAS";398401
04/2019;"UTENOR SA L 722";162611
04/2019;"VUELTA DE ROCHA S.A.T.C.I.";787209
04/2019;"YITOS S.A.";2250407
03/2019;"17 DE AGOSTO S.A.";771812
03/2019;"4 DE SEPTIEMBRE S.A.T.C.P.";1155556
03/2019;"ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I";3840000
03/2019;"ALMAFUERTE S.A.T.A.C.I.";950680
03/2019;"AUTOBUSES BS AS SRL- TTE LARRAZABAL SRL- UT";991674
03/2019;"AUTOBUSES BUENOS AIRES SRL";1448660
03/2019;"AZUL S.A. DE TRANSPORTE AUTOMOTOR";4845214
03/2019;"BERNARDINO RIVADAVIA S.A.T.A.";1696357
03/2019;"BUENOS AIRES BUS SOCIEDAD ANONIMA";319894
03/2019;"BUS DEL OESTE S.A.";373050
03/2019;"CARDENAS S.A. EMPRESA DE TRANSPORTES";1159998
03/2019;"CIA ANDRADE EMPRESA DE TRANSPORTE DE PASAJEROS SRL";1047261
03/2019;"CIA LA PAZ AMADOR MOURE SACIFIYA";827154
03/2019;"COLECTIVEROS UNIDOS S.A.";1508958
03/2019;"COMPAÑÍA DE OMNIBUS 25 DE MAYO LINEA 278";3977231
03/2019;"COMPAÑIA ISLEÑA S.R.L.";4034724
03/2019;"COMPAÑIA MICROOMNIBUS LA COLORADA SACI";1782176
03/2019;"COMPAÑIA NOROESTE S.A.T.";2728363
03/2019;"COMPAÑIA  DE TRANSPORTE VECINAL S.A.";492476
03/2019;"COOPERATIVA DE TRABAJO 3 DE JULIO LIMITADA";227772
03/2019;"COOPERATIVA DE TRABAJO 6 DE JULIO LIMITADA";68349
03/2019;"D.O.T.A. S.A. DE TRANSPORTE AUTOMOTOR";4091163
03/2019;"D.U.V.I. SOCIEDAD ANONIMA";909021
03/2019;"EL NUEVO HALCON S.A.";2066315
03/2019;"EL PUENTE S.A.T.";1701589
03/2019;"EL URBANO SRL";189469
03/2019;"EMP.DE TRANSP. PEDRO DE MENDOZA C.I.S.A.";1053541
03/2019;"EMP.DE TRANSP.MICROOMN.SAENZ PEÑA S.R.L.";1333863
03/2019;"EMP.TRANSP.AUTOM.DE PASAJEROS S.A.C.I.F.";1174546
03/2019;"EMPRESA 501 SA";1541102
03/2019;"EMPRESA ANTARTIDA ARGENTINA S.A.T.";628121
03/2019;"EMPRESA CINCO DE AGOSTO S.R.L.";296462
03/2019;"EMPRESA CIUDAD DE SAN FERNANDO SA";2418579
03/2019;"EMPRESA DE TRANSP. TTE. GRAL. ROCA S.A";2529331
03/2019;"EMPRESA DE TRANSPORTE DEL SUR SRL";2473764
03/2019;"EMPRESA DE TRANSPORTES AMERICA S.A.C.I.";908399
03/2019;"EMPRESA DE TRANSPORTES EL LITORAL S.A.";1644967
03/2019;"EMPRESA DE TRANSPORTES SANTA RITA  SRL";36693
03/2019;"EMPRESA DEL OESTE SAT";3342970
03/2019;"EMPRESA J.M. EZEIZA S.R.L.";1453968
03/2019;"EMPRESA LINEA 216 S.A.T.";8873918
03/2019;"EMPRESA LINEA SIETE SAT";1040167
03/2019;"EMPRESA MICROOMNIBUS LARROQUE LINEA 548 SRL";346777
03/2019;"EMPRESA MONTE GRANDE S.A. LINEA 501";3473535
03/2019;"EMPRESA NUEVE DE JULIO S.A.T.";2053066
03/2019;"EMPRESA TANDILENSE S.A.C.I.F.I.Y DE S.";2500946
03/2019;"EMPRESA TRANSPORTE TRATADO DEL PILAR S.R.L.";435935
03/2019;"EMRESA MONTERREY S.R.L.";158989
03/2019;"ERSA URBANO";1817581
03/2019;"EXPRESO EMPALME LOBOS S.R.L.";62655
03/2019;"EXPRESO ESTEBAN ECHEVERRIA S.R.L.";1657142
03/2019;"EXPRESO GENERAL SARMIENTO S.A.";3298291
03/2019;"EXPRESO LA PLATA BUENOS AIRES S.A.";1005457
03/2019;"EXPRESO LOMAS S.A.";228717
03/2019;"EXPRESO NUEVE DE JULIO S.A.";1271728
03/2019;"EXPRESO PARQUE EL LUCERO S.A. DE TRANSPORTES";2131919
03/2019;"EXPRESO QUILMES S.A.";1786957
03/2019;"EXPRESO SAN ISIDRO S.A.T.C.I.F.I.";1254336
03/2019;"EXPRESO VILLA GALICIA  SAN JOSE S.A.";3710594
03/2019;"EXPRESO VILLA NUEVA S.A.";1635106
03/2019;"FERROVIAS S.A.";2470643
03/2019;"FUERTE BARRAGAN S.A.T.I.C.I.";1023590
03/2019;"GENERAL PUEYRREDON S.A.T.C.I.";1040761
03/2019;"GENERAL TOMAS GUIDO S.A.C.I.F.";4598149
03/2019;"GRUPO LINEA 179 S.A.";452589
03/2019;"JUAN B. JUSTO S.A.T.C.I.";1242198
03/2019;"LA CABAÑA S.A.";5950412
03/2019;"LA CENTRAL DE ESCOBAR SA";1661311
03/2019;"LA CENTRAL DE VICENTE LOPEZ S.A.";2949036
03/2019;"LA FLOR DE LUJAN SRL";27098
03/2019;"LA NUEVA METROPOL S.A.";4093487
03/2019;"LA PRIMERA DE GRAND BOURG S.A.";4328728
03/2019;"LA PRIMERA DE LA ESCONDIDA SRL";117777
03/2019;"LA PRIMERA DE MALVINAS ARGENTINAS UTE";323396
03/2019;"LA PRIMERA DE MARTINEZ S.A";1218943
03/2019;"LA VECINAL DE MATANZA SACI. DE MICROOMNIBUS";2241097
03/2019;"LIBERTADOR SAN MARTIN SAT";1269054
03/2019;"LINEA 10 S.A.";769185
03/2019;"LINEA 17 S.A.";1198838
03/2019;"LINEA 213 S.A. DE TRANSPORTE";1422164
03/2019;"LINEA 22 S.A.";585839
03/2019;"LINEA 71 S.A.";1309477
03/2019;"LINEA DE MICROOMNIBUS 47 S.A.T.C.F.I.";807075
03/2019;"LINEA EXPRESO LINIERS S.A.I.Y C.";619688
03/2019;"LINEA SESENTA SA";950808
03/2019;"LOS CONSTITUYENTES S.A.T.";2899096
03/2019;"M.O.D.O. S.A. DE TRANSPORTE AUTOMOTOR";1194113
03/2019;"MAYO S.A.T.A.";842738
03/2019;METROVIAS;26901617
03/2019;"METROVIAS S.A. (URQUIZA)";2328755
03/2019;"MICRO OMNIBUS AVENIDA S.A.";964604
03/2019;"MICRO OMNIBUS ESTE S.A";698085
03/2019;"MICRO OMNIBUS GENERAL SAN MARTIN SAC";2615213
03/2019;"MICRO OMNIBUS GRAL PACHECO SRL";1159885
03/2019;"MICRO OMNIBUS MITRE S.A.";1739184
03/2019;"MICRO OMNIBUS NORTE S.A.";2658806
03/2019;"MICRO OMNIBUS O´HIGGINS S.A.T.";546118
03/2019;"MICRO OMNIBUS PRIMERA JUNTA S.A";3045837
03/2019;"MICRO OMNIBUS QUILMES S.A.C.I. Y F.";4690721
03/2019;"MICRO OMNIBUS SUR S.A.C.";1482774
03/2019;"MICRO OMNIBUS TIGRE S.A.";2837694
03/2019;"MICROEXPRES S.A.";182686
03/2019;"MICROOMNIBUS BARRANCAS DE BELGRANO S.A.";676809
03/2019;"MICROOMNIBUS CIUDAD DE BS.AS. S.A.T.C.I";2053775
03/2019;"MICROOMNIBUS CUARENTA Y CINCO S.A.C.I.F.";961956
03/2019;"MICROOMNIBUS SAAVEDRA S.A.T.A.C.I.";1257594
03/2019;"NUDO S.A.";2506503
03/2019;"NUEVO IDEAL S.A.";3150721
03/2019;"NUEVOS RUMBOS S.A.T.A.C.I.F.I.";1685597
03/2019;"PILAR BUS S.A";755527
03/2019;"ROCARAZA S.A.";1954785
03/2019;"RUTA BUS S.A.";1152592
03/2019;"SAN VICENTE S.A. DE TRANSPORTES";3792162
03/2019;"SARGENTO CABRAL S.A.DE TRANSPORTE";2513971
03/2019;"SERGIO A. RIVAS S.R.L";105007
03/2019;"SOCIEDAD ANONIMA EXPRESO SUDOESTE";1499761
03/2019;"SOFSE - Belgrano Sur";1365018
03/2019;"SOFSE - Mitre";4002823
03/2019;"SOFSE - Roca";14405696
03/2019;"SOFSE - San Martin";2314476
03/2019;"SOFSE- SARMIENTO";7308013
03/2019;"SOFSE- TREN DE LA COSTA";75001
03/2019;"TRANPORTES VEINTIDOS DE SETIEMBRE S.A.C.";898430
03/2019;"TRANSP. AUTOMOTORES 12 DE OCTUBRE S.A.C.";517886
03/2019;"TRANSP. SGTO. CABRAL";656845
03/2019;"TRANSPORTE 11 DE JUNIO S.R.L.";393576
03/2019;"TRANSPORTE AUTOMOTORES LA PLATA SA";2562837
03/2019;"TRANSPORTE DEL SUR S.R.L.";611599
03/2019;"TRANSPORTE ESCALADA S.A.T.";848703
03/2019;"TRANSPORTE IDEAL SAN JUSTO S.A.";3139003
03/2019;"TRANSPORTE JOSE HERNANDEZ S.A.C.I.";537431
03/2019;"TRANSPORTE LA UNION SA";1080871
03/2019;"TRANSPORTE LARRAZABAL C.I.S.A.";3738446
03/2019;"TRANSPORTE NUEVE DE JULIO SAC.";714296
03/2019;"TRANSPORTES 1º SEPTIEMBRE S.A.";576910
03/2019;"TRANSPORTES 270 S.A.";755481
03/2019;"TRANSPORTES ALMIRANTE BROWN S.A.";1138055
03/2019;"TRANSPORTES ATLANTIDA S.A.C.";1508401
03/2019;"TRANSPORTES AUTOMOTORES  LANUS ESTE S.A.";893235
03/2019;"TRANSPORTES AUTOMOTORES CALLAO S.A.";2323163
03/2019;"TRANSPORTES AUTOMOTORES RIACHUELO S.A.";2359127
03/2019;"TRANSPORTES AVENIDA BERNARDO ADER S.A.";1416410
03/2019;"TRANSPORTES COLEGIALES S.A.C.I.";785841
03/2019;"TRANSPORTES DEL TEJAR S.A.";880616
03/2019;"TRANSPORTES LA PERLITA S.A.";8429524
03/2019;"TRANSPORTES LINEA 123 S.A.C.I.";337190
03/2019;"TRANSPORTES LOPE DE VEGA S.A.C.I.";3066110
03/2019;"TRANSPORTES NUEVA CHICAGO C.I.S.A.";1287836
03/2019;"TRANSPORTES QUIRNO COSTA S.A.C.I.";723569
03/2019;"TRANSPORTES RIO GRANDE S.A.C.I.F.";2044127
03/2019;"TRANSPORTES SAN CAYETANO S.A.C.";368473
03/2019;"TRANSPORTES SAN JUAN BAUTISTA S.A.";1563213
03/2019;"TRANSPORTES SANTA FE S.A.C.I.";1534152
03/2019;"TRANSPORTES SESENTA Y OCHO S.R.L.";1412914
03/2019;"TRANSPORTES SOL DE MAYO C.I.S.A.";663753
03/2019;"TRANSPORTES SUR-NOR C.I.S.A.";1748526
03/2019;"TRANSPORTES UNIDOS DE MERLO S.A.C.I.I.";2505116
03/2019;"TRANSPORTES VILLA BOSCH SAC el";794467
03/2019;"TTES.AUTOMOTORES DE PASAJEROS SIGLO XXI SA";702525
03/2019;"UNION PLATENSE SRL";3084911
03/2019;"UNION TRANSITORIA COSA CIA TRANSPORTE VECINAL U.T.";971772
03/2019;"UNION TRANSPORTISTAS DE EMPRESAS SA";665108
03/2019;"UTENOR LINEA 723 UNION TRANSITORIA DE EMPRESAS";411408
03/2019;"UTENOR SA L 722";160532
03/2019;"VUELTA DE ROCHA S.A.T.C.I.";806631
03/2019;"YITOS S.A.";2307675
02/2019;"17 DE AGOSTO S.A.";653742
02/2019;"4 DE SEPTIEMBRE S.A.T.C.P.";995821
02/2019;"ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I";3146832
02/2019;"ALMAFUERTE S.A.T.A.C.I.";804791
02/2019;"AUTOBUSES BS AS SRL- TTE LARRAZABAL SRL- UT";754160
02/2019;"AUTOBUSES BUENOS AIRES SRL";1156554
02/2019;"AZUL S.A. DE TRANSPORTE AUTOMOTOR";4176285
02/2019;"BERNARDINO RIVADAVIA S.A.T.A.";1438303
02/2019;"BUENOS AIRES BUS SOCIEDAD ANONIMA";282625
02/2019;"BUS DEL OESTE S.A.";316152
02/2019;"CARDENAS S.A. EMPRESA DE TRANSPORTES";954644
02/2019;"CIA ANDRADE EMPRESA DE TRANSPORTE DE PASAJEROS SRL";872470
02/2019;"CIA LA PAZ AMADOR MOURE SACIFIYA";664336
02/2019;"COLECTIVEROS UNIDOS S.A.";1224336
02/2019;"COMPAÑÍA DE OMNIBUS 25 DE MAYO LINEA 278";3093897
02/2019;"COMPAÑIA ISLEÑA S.R.L.";3121206
02/2019;"COMPAÑIA MICROOMNIBUS LA COLORADA SACI";1462379
02/2019;"COMPAÑIA NOROESTE S.A.T.";2308701
02/2019;"COMPAÑIA  DE TRANSPORTE VECINAL S.A.";394947
02/2019;"COOPERATIVA DE TRABAJO 3 DE JULIO LIMITADA";218980
02/2019;"COOPERATIVA DE TRABAJO 6 DE JULIO LIMITADA";46081
02/2019;"D.O.T.A. S.A. DE TRANSPORTE AUTOMOTOR";3634244
02/2019;"D.U.V.I. SOCIEDAD ANONIMA";800895
02/2019;"EL NUEVO HALCON S.A.";1766410
02/2019;"EL PUENTE S.A.T.";1417169
02/2019;"EL URBANO SRL";141679
02/2019;"EMP.DE TRANSP. PEDRO DE MENDOZA C.I.S.A.";915320
02/2019;"EMP.DE TRANSP.MICROOMN.SAENZ PEÑA S.R.L.";1118033
02/2019;"EMP.TRANSP.AUTOM.DE PASAJEROS S.A.C.I.F.";963478
02/2019;"EMPRESA 501 SA";1188849
02/2019;"EMPRESA ANTARTIDA ARGENTINA S.A.T.";529707
02/2019;"EMPRESA CINCO DE AGOSTO S.R.L.";243091
02/2019;"EMPRESA CIUDAD DE SAN FERNANDO SA";1964963
02/2019;"EMPRESA DE TRANSP. TTE. GRAL. ROCA S.A";2243774
02/2019;"EMPRESA DE TRANSPORTE DEL SUR SRL";1854403
02/2019;"EMPRESA DE TRANSPORTES AMERICA S.A.C.I.";749184
02/2019;"EMPRESA DE TRANSPORTES EL LITORAL S.A.";1309619
02/2019;"EMPRESA DE TRANSPORTES SANTA RITA  SRL";27143
02/2019;"EMPRESA DEL OESTE SAT";2750193
02/2019;"EMPRESA J.M. EZEIZA S.R.L.";1199268
02/2019;"EMPRESA LINEA 216 S.A.T.";6941746
02/2019;"EMPRESA LINEA SIETE SAT";795536
02/2019;"EMPRESA MICROOMNIBUS LARROQUE LINEA 548 SRL";267201
02/2019;"EMPRESA MONTE GRANDE S.A. LINEA 501";2702645
02/2019;"EMPRESA NUEVE DE JULIO S.A.T.";1534993
02/2019;"EMPRESA TANDILENSE S.A.C.I.F.I.Y DE S.";2180923
02/2019;"EMPRESA TRANSPORTE TRATADO DEL PILAR S.R.L.";342173
02/2019;"EMRESA MONTERREY S.R.L.";127573
02/2019;"ERSA URBANO";1505759
02/2019;"EXPRESO EMPALME LOBOS S.R.L.";48599
02/2019;"EXPRESO ESTEBAN ECHEVERRIA S.R.L.";1371911
02/2019;"EXPRESO GENERAL SARMIENTO S.A.";2702797
02/2019;"EXPRESO LA PLATA BUENOS AIRES S.A.";728254
02/2019;"EXPRESO LOMAS S.A.";979830
02/2019;"EXPRESO NUEVE DE JULIO S.A.";1055300
02/2019;"EXPRESO PARQUE EL LUCERO S.A. DE TRANSPORTES";1758383
02/2019;"EXPRESO QUILMES S.A.";1501687
02/2019;"EXPRESO SAN ISIDRO S.A.T.C.I.F.I.";1065034
02/2019;"EXPRESO VILLA GALICIA  SAN JOSE S.A.";2942882
02/2019;"EXPRESO VILLA NUEVA S.A.";1315184
02/2019;"FERROVIAS S.A.";2192327
02/2019;"FUERTE BARRAGAN S.A.T.I.C.I.";801115
02/2019;"GENERAL PUEYRREDON S.A.T.C.I.";850488
02/2019;"GENERAL TOMAS GUIDO S.A.C.I.F.";3632640
02/2019;"GRUPO LINEA 179 S.A.";340440
02/2019;"INTERISLEÑA S.A.C.I.";8
02/2019;"JUAN B. JUSTO S.A.T.C.I.";1064169
02/2019;"LA CABAÑA S.A.";4904231
02/2019;"LA CENTRAL DE ESCOBAR SA";1405323
02/2019;"LA CENTRAL DE VICENTE LOPEZ S.A.";2453438
02/2019;"LA FLOR DE LUJAN SRL";27346
02/2019;"LA NUEVA METROPOL S.A.";3505953
02/2019;"LA PRIMERA DE GRAND BOURG S.A.";3375687
02/2019;"LA PRIMERA DE LA ESCONDIDA SRL";93400
02/2019;"LA PRIMERA DE MALVINAS ARGENTINAS UTE";266528
02/2019;"LA PRIMERA DE MARTINEZ S.A";975993
02/2019;"LA VECINAL DE MATANZA SACI. DE MICROOMNIBUS";1920903
02/2019;"LIBERTADOR SAN MARTIN SAT";1095676
02/2019;"LINEA 10 S.A.";664328
02/2019;"LINEA 17 S.A.";1001454
02/2019;"LINEA 213 S.A. DE TRANSPORTE";1212145
02/2019;"LINEA 22 S.A.";505583
02/2019;"LINEA 71 S.A.";1099862
02/2019;"LINEA DE MICROOMNIBUS 47 S.A.T.C.F.I.";660503
02/2019;"LINEA EXPRESO LINIERS S.A.I.Y C.";586805
02/2019;"LINEA SESENTA SA";750639
02/2019;"LOS CONSTITUYENTES S.A.T.";2208276
02/2019;"M.O.D.O. S.A. DE TRANSPORTE AUTOMOTOR";1025608
02/2019;"MAYO S.A.T.A.";731031
02/2019;METROVIAS;22959217
02/2019;"METROVIAS S.A. (URQUIZA)";2035921
02/2019;"MICRO OMNIBUS AVENIDA S.A.";721342
02/2019;"MICRO OMNIBUS ESTE S.A";534181
02/2019;"MICRO OMNIBUS GENERAL SAN MARTIN SAC";2131225
02/2019;"MICRO OMNIBUS GRAL PACHECO SRL";934926
02/2019;"MICRO OMNIBUS MITRE S.A.";1351895
02/2019;"MICRO OMNIBUS NORTE S.A.";2196927
02/2019;"MICRO OMNIBUS O´HIGGINS S.A.T.";433828
02/2019;"MICRO OMNIBUS PRIMERA JUNTA S.A";2470744
02/2019;"MICRO OMNIBUS QUILMES S.A.C.I. Y F.";3903178
02/2019;"MICRO OMNIBUS SUR S.A.C.";1184634
02/2019;"MICRO OMNIBUS TIGRE S.A.";2386387
02/2019;"MICROEXPRES S.A.";149432
02/2019;"MICROOMNIBUS BARRANCAS DE BELGRANO S.A.";573236
02/2019;"MICROOMNIBUS CIUDAD DE BS.AS. S.A.T.C.I";1799355
02/2019;"MICROOMNIBUS CUARENTA Y CINCO S.A.C.I.F.";868067
02/2019;"MICROOMNIBUS SAAVEDRA S.A.T.A.C.I.";1027032
02/2019;"MUNICIPALIDAD DE MERCEDES PROVINCIA DE BUENOS AIRE";11660
02/2019;"NUDO S.A.";2046496
02/2019;"NUEVO IDEAL S.A.";2628908
02/2019;"NUEVOS RUMBOS S.A.T.A.C.I.F.I.";1461294
02/2019;"PILAR BUS S.A";633707
02/2019;"ROCARAZA S.A.";1663741
02/2019;"RUTA BUS S.A.";951603
02/2019;"SAN VICENTE S.A. DE TRANSPORTES";2967345
02/2019;"SARGENTO CABRAL S.A.DE TRANSPORTE";2064306
02/2019;"SERGIO A. RIVAS S.R.L";74100
02/2019;"SOCIEDAD ANONIMA EXPRESO SUDOESTE";1208535
02/2019;"SOFSE - Belgrano Sur";1198675
02/2019;"SOFSE - Mitre";3765320
02/2019;"SOFSE - Roca";12918317
02/2019;"SOFSE - San Martin";1972194
02/2019;"SOFSE- SARMIENTO";6990674
02/2019;"SOFSE- TREN DE LA COSTA";80031
02/2019;"TRANPORTES VEINTIDOS DE SETIEMBRE S.A.C.";747961
02/2019;"TRANSP. AUTOMOTORES 12 DE OCTUBRE S.A.C.";432744
02/2019;"TRANSP. SGTO. CABRAL";557180
02/2019;"TRANSPORTE 11 DE JUNIO S.R.L.";276269
02/2019;"TRANSPORTE AUTOMOTORES LA PLATA SA";2267816
02/2019;"TRANSPORTE DEL SUR S.R.L.";477397
02/2019;"TRANSPORTE ESCALADA S.A.T.";689961
02/2019;"TRANSPORTE IDEAL SAN JUSTO S.A.";2755388
02/2019;"TRANSPORTE JOSE HERNANDEZ S.A.C.I.";430575
02/2019;"TRANSPORTE LA UNION SA";823546
02/2019;"TRANSPORTE LARRAZABAL C.I.S.A.";3076243
02/2019;"TRANSPORTE NUEVE DE JULIO SAC.";606982
02/2019;"TRANSPORTES 1º SEPTIEMBRE S.A.";466817
02/2019;"TRANSPORTES 270 S.A.";607817
02/2019;"TRANSPORTES ALMIRANTE BROWN S.A.";1023521
02/2019;"TRANSPORTES ATLANTIDA S.A.C.";1364393
02/2019;"TRANSPORTES AUTOMOTORES  LANUS ESTE S.A.";701953
02/2019;"TRANSPORTES AUTOMOTORES CALLAO S.A.";2003258
02/2019;"TRANSPORTES AUTOMOTORES RIACHUELO S.A.";1958088
02/2019;"TRANSPORTES AVENIDA BERNARDO ADER S.A.";1187073
02/2019;"TRANSPORTES COLEGIALES S.A.C.I.";649375
02/2019;"TRANSPORTES DEL TEJAR S.A.";740599
02/2019;"TRANSPORTES LA PERLITA S.A.";6772223
02/2019;"TRANSPORTES LINEA 123 S.A.C.I.";269518
02/2019;"TRANSPORTES LOPE DE VEGA S.A.C.I.";2561864
02/2019;"TRANSPORTES NUEVA CHICAGO C.I.S.A.";1059732
02/2019;"TRANSPORTES QUIRNO COSTA S.A.C.I.";589193
02/2019;"TRANSPORTES RIO GRANDE S.A.C.I.F.";1698670
02/2019;"TRANSPORTES SAN CAYETANO S.A.C.";303498
02/2019;"TRANSPORTES SAN JUAN BAUTISTA S.A.";1262195
02/2019;"TRANSPORTES SANTA FE S.A.C.I.";1300003
02/2019;"TRANSPORTES SESENTA Y OCHO S.R.L.";1155285
02/2019;"TRANSPORTES SOL DE MAYO C.I.S.A.";578712
02/2019;"TRANSPORTES SUR-NOR C.I.S.A.";1491536
02/2019;"TRANSPORTES UNIDOS DE MERLO S.A.C.I.I.";1972706
02/2019;"TRANSPORTES VILLA BOSCH SAC el";584488
02/2019;"TTES.AUTOMOTORES DE PASAJEROS SIGLO XXI SA";552047
02/2019;"UNION PLATENSE SRL";2358910
02/2019;"UNION TRANSITORIA COSA CIA TRANSPORTE VECINAL U.T.";771680
02/2019;"UNION TRANSPORTISTAS DE EMPRESAS SA";578064
02/2019;"UTENOR LINEA 723 UNION TRANSITORIA DE EMPRESAS";342833
02/2019;"UTENOR SA L 722";160004
02/2019;"VUELTA DE ROCHA S.A.T.C.I.";710064
02/2019;"YITOS S.A.";1757432
01/2019;"17 DE AGOSTO S.A.";663219
01/2019;"4 DE SEPTIEMBRE S.A.T.C.P.";955748
01/2019;"ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I";3257255
01/2019;"ALMAFUERTE S.A.T.A.C.I.";823799
01/2019;"AUTOBUSES BS AS SRL- TTE LARRAZABAL SRL- UT";786663
01/2019;"AUTOBUSES BUENOS AIRES SRL";1146829
01/2019;"AZUL S.A. DE TRANSPORTE AUTOMOTOR";4345589
01/2019;"BERNARDINO RIVADAVIA S.A.T.A.";1474407
01/2019;"BUENOS AIRES BUS SOCIEDAD ANONIMA";292805
01/2019;"BUS DEL OESTE S.A.";330052
01/2019;"CARDENAS S.A. EMPRESA DE TRANSPORTES";975905
01/2019;"CIA ANDRADE EMPRESA DE TRANSPORTE DE PASAJEROS SRL";893711
01/2019;"CIA LA PAZ AMADOR MOURE SACIFIYA";671230
01/2019;"COLECTIVEROS UNIDOS S.A.";1227529
01/2019;"COMPAÑÍA DE OMNIBUS 25 DE MAYO LINEA 278";3166949
01/2019;"COMPAÑIA ISLEÑA S.R.L.";3239415
01/2019;"COMPAÑIA MICROOMNIBUS LA COLORADA SACI";1506974
01/2019;"COMPAÑIA NOROESTE S.A.T.";2376867
01/2019;"COMPAÑIA  DE TRANSPORTE VECINAL S.A.";406640
01/2019;"COOPERATIVA DE TRABAJO 3 DE JULIO LIMITADA";217876
01/2019;"COOPERATIVA DE TRABAJO 6 DE JULIO LIMITADA";42940
01/2019;"D.O.T.A. S.A. DE TRANSPORTE AUTOMOTOR";3726776
01/2019;"D.U.V.I. SOCIEDAD ANONIMA";813791
01/2019;"EL NUEVO HALCON S.A.";1815134
01/2019;"EL PUENTE S.A.T.";1460800
01/2019;"EL URBANO SRL";141274
01/2019;"EMP.DE TRANSP. PEDRO DE MENDOZA C.I.S.A.";838918
01/2019;"EMP.DE TRANSP.MICROOMN.SAENZ PEÑA S.R.L.";1120590
01/2019;"EMP.TRANSP.AUTOM.DE PASAJEROS S.A.C.I.F.";994712
01/2019;"EMPRESA 501 SA";1210585
01/2019;"EMPRESA ANTARTIDA ARGENTINA S.A.T.";531535
01/2019;"EMPRESA CINCO DE AGOSTO S.R.L.";249505
01/2019;"EMPRESA CIUDAD DE SAN FERNANDO SA";2015899
01/2019;"EMPRESA DE TRANSP. TTE. GRAL. ROCA S.A";2370402
01/2019;"EMPRESA DE TRANSPORTE DEL SUR SRL";1867656
01/2019;"EMPRESA DE TRANSPORTES AMERICA S.A.C.I.";753502
01/2019;"EMPRESA DE TRANSPORTES EL LITORAL S.A.";1356010
01/2019;"EMPRESA DE TRANSPORTES SANTA RITA  SRL";27317
01/2019;"EMPRESA DEL OESTE SAT";2808034
01/2019;"EMPRESA J.M. EZEIZA S.R.L.";1208953
01/2019;"EMPRESA LINEA 216 S.A.T.";7455550
01/2019;"EMPRESA LINEA SIETE SAT";734937
01/2019;"EMPRESA MICROOMNIBUS LARROQUE LINEA 548 SRL";251918
01/2019;"EMPRESA MONTE GRANDE S.A. LINEA 501";2686447
01/2019;"EMPRESA NUEVE DE JULIO S.A.T.";1419890
01/2019;"EMPRESA TANDILENSE S.A.C.I.F.I.Y DE S.";2129671
01/2019;"EMPRESA TRANSPORTE TRATADO DEL PILAR S.R.L.";350882
01/2019;"EMRESA MONTERREY S.R.L.";131639
01/2019;"ERSA URBANO";1516356
01/2019;"EXPRESO EMPALME LOBOS S.R.L.";50835
01/2019;"EXPRESO ESTEBAN ECHEVERRIA S.R.L.";1426850
01/2019;"EXPRESO GENERAL SARMIENTO S.A.";2802930
01/2019;"EXPRESO LA PLATA BUENOS AIRES S.A.";659412
01/2019;"EXPRESO LOMAS S.A.";1020673
01/2019;"EXPRESO NUEVE DE JULIO S.A.";1048175
01/2019;"EXPRESO PARQUE EL LUCERO S.A. DE TRANSPORTES";1804637
01/2019;"EXPRESO QUILMES S.A.";1529166
01/2019;"EXPRESO SAN ISIDRO S.A.T.C.I.F.I.";1076189
01/2019;"EXPRESO VILLA GALICIA  SAN JOSE S.A.";2979946
01/2019;"EXPRESO VILLA NUEVA S.A.";1355036
01/2019;"FERROVIAS S.A.";2130133
01/2019;"FUERTE BARRAGAN S.A.T.I.C.I.";755795
01/2019;"GENERAL PUEYRREDON S.A.T.C.I.";853932
01/2019;"GENERAL TOMAS GUIDO S.A.C.I.F.";3753861
01/2019;"GRUPO LINEA 179 S.A.";352721
01/2019;"JUAN B. JUSTO S.A.T.C.I.";1066153
01/2019;"LA CABAÑA S.A.";4971444
01/2019;"LA CENTRAL DE ESCOBAR SA";1448092
01/2019;"LA CENTRAL DE VICENTE LOPEZ S.A.";2655778
01/2019;"LA FLOR DE LUJAN SRL";29459
01/2019;"LA NUEVA METROPOL S.A.";3546506
01/2019;"LA PRIMERA DE GRAND BOURG S.A.";3512355
01/2019;"LA PRIMERA DE LA ESCONDIDA SRL";99114
01/2019;"LA PRIMERA DE MALVINAS ARGENTINAS UTE";271703
01/2019;"LA PRIMERA DE MARTINEZ S.A";984016
01/2019;"LA VECINAL DE MATANZA SACI. DE MICROOMNIBUS";1968424
01/2019;"LIBERTADOR SAN MARTIN SAT";1125167
01/2019;"LINEA 10 S.A.";663078
01/2019;"LINEA 17 S.A.";974260
