anio;LINEA;TOTAL
11/2018;"LINEA 541";546718
11/2018;"LINEA 542";406689
11/2018;"LINEA 543";652096
11/2018;"LINEA 544";543012
11/2018;"LINEA 548";378050
11/2018;"LINEA 549";109449
11/2018;"LINEA 55";959967
11/2018;"LINEA 550 BSAS";313609
11/2018;"LINEA 551";202145
11/2018;"LINEA 552 BSAS";377084
11/2018;"LINEA 553 BSAS";353387
11/2018;"LINEA 56";548864
11/2018;"LINEA 561";154472
11/2018;"LINEA 561B";37544
11/2018;"LINEA 562";345809
11/2018;"LINEA 564";441430
11/2018;"LINEA 57";1248910
11/2018;"LINEA 570";492267
11/2018;"LINEA 580";204369
11/2018;"LINEA 582";505830
11/2018;"LINEA 583";355838
11/2018;"LINEA 584";331202
11/2018;"LINEA 585";777243
11/2018;"LINEA 586";43582
11/2018;"LINEA 59";2044502
11/2018;"LINEA 6";384093
11/2018;"LINEA 60";2624826
11/2018;"LINEA 603";631369
11/2018;"LINEA 619";392222
11/2018;"LINEA 62";321117
11/2018;"LINEA 620";2645231
11/2018;"LINEA 621";1011229
11/2018;"LINEA 622";1138091
11/2018;"LINEA 624";981655
11/2018;"LINEA 628";139285
11/2018;"LINEA 63";862435
11/2018;"LINEA 630";499574
11/2018;"LINEA 634";550254
11/2018;"LINEA 635 BS AS";269773
11/2018;"LINEA 64";814222
11/2018;"LINEA 65";823734
11/2018;"LINEA 67";904430
11/2018;"LINEA 670";1229187
11/2018;"LINEA 68";1381602
11/2018;"LINEA 7";536248
11/2018;"LINEA 70";741409
11/2018;"LINEA 707";1428460
11/2018;"LINEA 71";1403340
11/2018;"LINEA 710";795948
11/2018;"LINEA 720";1991501
11/2018;"LINEA 721";1254580
11/2018;"LINEA 722";176622
11/2018;"LINEA 723";459462
11/2018;"LINEA 74";459299
11/2018;"LINEA 740";882404
11/2018;"LINEA 741";392354
11/2018;"LINEA 749";958391
11/2018;"LINEA 75";232203
11/2018;"LINEA 76";806121
11/2018;"LINEA 78";905151
11/2018;"LINEA 79";518920
11/2018;"LINEA 8";931129
11/2018;"LINEA 80";1314542
11/2018;"LINEA 84";655327
11/2018;"LINEA 85";1574695
11/2018;"LINEA 86";722322
11/2018;"LINEA 87";827591
11/2018;"LINEA 88";690697
11/2018;"LINEA 9";926497
11/2018;"LINEA 90";389301
11/2018;"LINEA 91";1043983
11/2018;"LINEA 92";1390854
11/2018;"LINEA 93";594385
11/2018;"LINEA 95";664361
11/2018;"LINEA 96";1665484
11/2018;"LINEA 97";410076
11/2018;"LINEA 98";1906993
11/2018;"LINEA A";5737931
11/2018;"LINEA B";7356321
11/2018;"LINEA C";4246776
11/2018;"LINEA D";6485101
11/2018;"LINEA E";1841735
11/2018;"LINEA H";2563699
11/2018;"LINEA OESTE";1785557
11/2018;"LINEA PREMETRO";64703
11/2018;"LINEA SIN NUMERO (COOP 6 DE JULIO)";67740
11/2018;"LINEA SUR MUNICIPAL";378708
11/2018;LINEA_099;478680
11/2018;LINEA_500-503;324213
11/2018;"NORTE MUNICIPAL";567125
11/2018;"SARMIENTO DIESEL MORENO - MERCEDES";4005
11/2018;"SARMIENTO MERLO - LOBOS";76411
10/2018;"FFCC BELGRANO NORTE";2564932
10/2018;"FFCC BELGRANO SUR";1496004
10/2018;"FFCC MITRE";78876
10/2018;"FFCC MITRE CAPILLA DEL SEÑOR";226
10/2018;"FFCC MITRE-SUAREZ";2941457
10/2018;"FFCC MITRE-TIGRE";3076023
10/2018;"FFCC MITRE-ZARATE";7969
10/2018;"FFCC ROCA";16086996
10/2018;"FFCC SAN MARTIN";2609616
10/2018;"FFCC SARMIENTO";7986732
10/2018;"FFCC TREN DE LA COSTA";65108
10/2018;"FFCC URQUIZA";2685271
10/2018;FFCC_ROCA_CAÑUELAS-MONTE;2145
10/2018;FFCC_ROCA_KORN-CHASCOMUS;12023
10/2018;"LINEA 031";1335579
10/2018;"LINEA 061";337395
10/2018;"LINEA 1";424598
10/2018;"LINEA 10";862050
10/2018;"LINEA 100";1241786
10/2018;"LINEA 101";1339131
10/2018;"LINEA 102";778575
10/2018;"LINEA 103";892767
10/2018;"LINEA 105";1037074
10/2018;"LINEA 106";1245858
10/2018;"LINEA 107";1112024
10/2018;"LINEA 108";667609
10/2018;"LINEA 109";873565
10/2018;"LINEA 110";1195600
10/2018;"LINEA 111";769143
10/2018;"LINEA 112";320705
10/2018;"LINEA 113";1098259
10/2018;"LINEA 114";841058
10/2018;"LINEA 115";671712
10/2018;"LINEA 117";1156938
10/2018;"LINEA 118";803382
10/2018;"LINEA 12";1711080
10/2018;"LINEA 123";401183
10/2018;"LINEA 124";911034
10/2018;"LINEA 126";1348476
10/2018;"LINEA 127";675978
10/2018;"LINEA 128";686882
10/2018;"LINEA 129";1243845
10/2018;"LINEA 130";1525982
10/2018;"LINEA 132";2011232
10/2018;"LINEA 133";670456
10/2018;"LINEA 134";866358
10/2018;"LINEA 135";861758
10/2018;"LINEA 136 BS AS";586523
10/2018;"LINEA 140";625378
10/2018;"LINEA 141";756583
10/2018;"LINEA 143";545347
10/2018;"LINEA 146";920914
10/2018;"LINEA 148";2285883
10/2018;"LINEA 15";1938215
10/2018;"LINEA 150";711472
10/2018;"LINEA 151";927897
10/2018;"LINEA 152";2822054
10/2018;"LINEA 153 BS AS";344904
10/2018;"LINEA 154";164980
10/2018;"LINEA 158";490545
10/2018;"LINEA 159";2295427
10/2018;"LINEA 160";1649010
10/2018;"LINEA 161";1717108
10/2018;"LINEA 163 BS AS";406128
10/2018;"LINEA 165";961792
10/2018;"LINEA 166";1318022
10/2018;"LINEA 168";1395605
10/2018;"LINEA 169";564972
10/2018;"LINEA 17";1323661
10/2018;"LINEA 172";593726
10/2018;"LINEA 174 BS AS";860802
10/2018;"LINEA 175";443957
10/2018;"LINEA 176";2114592
10/2018;"LINEA 177";803202
10/2018;"LINEA 178";1617866
10/2018;"LINEA 179";474421
10/2018;"LINEA 180";1976905
10/2018;"LINEA 181";826241
10/2018;"LINEA 182";1327194
10/2018;"LINEA 184";616960
10/2018;"LINEA 185";441671
10/2018;"LINEA 188";1035290
10/2018;"LINEA 19";756720
10/2018;"LINEA 193";171988
10/2018;"LINEA 194";700157
10/2018;"LINEA 195";328111
10/2018;"LINEA 2";985502
10/2018;"LINEA 20";462180
10/2018;"LINEA 200";106558
10/2018;"LINEA 202";1260153
10/2018;"LINEA 203";4172762
10/2018;"LINEA 204";303898
10/2018;"LINEA 204B";215356
10/2018;"LINEA 205";389735
10/2018;"LINEA 21";2324646
10/2018;"LINEA 214";699915
10/2018;"LINEA 215";241073
10/2018;"LINEA 218";1008273
10/2018;"LINEA 219";772049
10/2018;"LINEA 22";697858
10/2018;"LINEA 222";148709
10/2018;"LINEA 225";39900
10/2018;"LINEA 228 B";260601
10/2018;"LINEA 228A";55669
10/2018;"LINEA 228C";268778
10/2018;"LINEA 228E";307464
10/2018;"LINEA 228F";375477
10/2018;"LINEA 23";379115
10/2018;"LINEA 236";2903167
10/2018;"LINEA 237";1845631
10/2018;"LINEA 238";623640
10/2018;"LINEA 239A";573968
10/2018;"LINEA 239B";267775
10/2018;"LINEA 24";1283853
10/2018;"LINEA 242";2625093
10/2018;"LINEA 243";102546
10/2018;"LINEA 244";335696
10/2018;"LINEA 245";229135
10/2018;"LINEA 247";1476017
10/2018;"LINEA 25";646716
10/2018;"LINEA 252";649562
10/2018;"LINEA 253 BS AS";98649
10/2018;"LINEA 256";37969
10/2018;"LINEA 257";1144298
10/2018;"LINEA 26";860811
10/2018;"LINEA 263A";290264
10/2018;"LINEA 263B";410570
10/2018;"LINEA 264";486886
10/2018;"LINEA 266";2281064
10/2018;"LINEA 269";1827427
10/2018;"LINEA 271";1069282
10/2018;"LINEA 273";1420302
10/2018;"LINEA 275";806434
10/2018;"LINEA 276";1181964
10/2018;"LINEA 277";275560
10/2018;"LINEA 278";1368198
10/2018;"LINEA 28";2724447
10/2018;"LINEA 281";578190
10/2018;"LINEA 283";966589
10/2018;"LINEA 284";280442
10/2018;"LINEA 288";316671
10/2018;"LINEA 289";660632
10/2018;"LINEA 29";1148381
10/2018;"LINEA 291";744715
10/2018;"LINEA 293A";492162
10/2018;"LINEA 293B";328933
10/2018;"LINEA 295";634020
10/2018;"LINEA 297";467239
10/2018;"LINEA 298";879911
10/2018;"LINEA 299";632697
10/2018;"LINEA 300";605810
10/2018;"LINEA 302";601215
10/2018;"LINEA 303";910334
10/2018;"LINEA 304";1194006
10/2018;"LINEA 306";1791980
10/2018;"LINEA 307";1198461
10/2018;"LINEA 310";228137
10/2018;"LINEA 311";980893
10/2018;"LINEA 312";593063
10/2018;"LINEA 313";91455
10/2018;"LINEA 314";1431809
10/2018;"LINEA 315";652570
10/2018;"LINEA 317 BS AS";699206
10/2018;"LINEA 318";1878400
10/2018;"LINEA 320";161474
10/2018;"LINEA 321 BS AS";239543
10/2018;"LINEA 322 BS AS";556233
10/2018;"LINEA 323";729976
10/2018;"LINEA 324";2806866
10/2018;"LINEA 325";411308
10/2018;"LINEA 326";262634
10/2018;"LINEA 327";545550
10/2018;"LINEA 328";905305
10/2018;"LINEA 329";473044
10/2018;"LINEA 32A";405161
10/2018;"LINEA 33";1303841
10/2018;"LINEA 333";622120
10/2018;"LINEA 336";246827
10/2018;"LINEA 338";2022792
10/2018;"LINEA 34";1461509
10/2018;"LINEA 341";1432263
10/2018;"LINEA 343";1391275
10/2018;"LINEA 350";649193
10/2018;"LINEA 354";1007797
10/2018;"LINEA 355";64077
10/2018;"LINEA 36";159462
10/2018;"LINEA 365";2777152
10/2018;"LINEA 37";1310773
10/2018;"LINEA 370";346948
10/2018;"LINEA 371";1113724
10/2018;"LINEA 372";204458
10/2018;"LINEA 373";526429
10/2018;"LINEA 378";1298939
10/2018;"LINEA 379";45139
10/2018;"LINEA 382";648901
10/2018;"LINEA 383";513480
10/2018;"LINEA 384";207748
10/2018;"LINEA 385";480575
10/2018;"LINEA 386";324983
10/2018;"LINEA 388";168828
10/2018;"LINEA 39";1690347
10/2018;"LINEA 390";321522
10/2018;"LINEA 391";785623
10/2018;"LINEA 392";240177
10/2018;"LINEA 394";742678
10/2018;"LINEA 395";617338
10/2018;"LINEA 4";786094
10/2018;"LINEA 403";22273
10/2018;"LINEA 404";915145
10/2018;"LINEA 405";532741
10/2018;"LINEA 406";918392
10/2018;"LINEA 407";515545
10/2018;"LINEA 41";1263280
10/2018;"LINEA 410";318557
10/2018;"LINEA 414";45753
10/2018;"LINEA 418";83251
10/2018;"LINEA 42";945490
10/2018;"LINEA 421";99076
10/2018;"LINEA 422";887602
10/2018;"LINEA 429";58623
10/2018;"LINEA 430";106305
10/2018;"LINEA 435";93047
10/2018;"LINEA 436";157425
10/2018;"LINEA 437";479669
10/2018;"LINEA 44";896529
10/2018;"LINEA 440";3139952
10/2018;"LINEA 441";574789
10/2018;"LINEA 443";55646
10/2018;"LINEA 443A";300876
10/2018;"LINEA 445";285990
10/2018;"LINEA 446";11
10/2018;"LINEA 448";1598737
10/2018;"LINEA 449";804294
10/2018;"LINEA 45";948730
10/2018;"LINEA 46";760852
10/2018;"LINEA 461";116080
10/2018;"LINEA 462";82612
10/2018;"LINEA 463";575401
10/2018;"LINEA 464";363581
10/2018;"LINEA 47";924173
10/2018;"LINEA 49";406525
10/2018;"LINEA 5";968926
10/2018;"LINEA 50";789322
10/2018;"LINEA 500B";43256
10/2018;"LINEA 500C";59020
10/2018;"LINEA 500D";1654444
10/2018;"LINEA 500G";655909
10/2018;"LINEA 500H";184582
10/2018;"LINEA 501 A";1696903
10/2018;"LINEA 501B";484239
10/2018;"LINEA 501C";2778992
10/2018;"LINEA 501D";64870
10/2018;"LINEA 501E";99083
10/2018;"LINEA 501F";231398
10/2018;"LINEA 501G";4958308
10/2018;"LINEA 501H";46027
10/2018;"LINEA 501I";362198
10/2018;"LINEA 502";25622
10/2018;"LINEA 502A";10040
10/2018;"LINEA 502B";50442
10/2018;"LINEA 503";253942
10/2018;"LINEA 503 B";433979
10/2018;"LINEA 503 ESTE";1098077
10/2018;"LINEA 503 ESTE LA PLATA";203215
10/2018;"LINEA 503A BS AS";1094911
10/2018;"LINEA 503C";104212
10/2018;"LINEA 503H (RIVAS)";113901
10/2018;"LINEA 504 ITUZAINGO";26103
10/2018;"LINEA 504A";1997940
10/2018;"LINEA 504B";19777
10/2018;"LINEA 504C";174023
10/2018;"LINEA 505 AMBA ALMIRANTE BROWN";619635
10/2018;"LINEA 505 D";418824
10/2018;"LINEA 505C";77787
10/2018;"LINEA 505E";1721
10/2018;"LINEA 506";173108
10/2018;"LINEA 506 AMBA ALMIRANTE BROWN";1075722
10/2018;"LINEA 506A";172769
10/2018;"LINEA 506B";403
10/2018;"LINEA 506F";337705
10/2018;"LINEA 507";135102
10/2018;"LINEA 507B";90026
10/2018;"LINEA 508";145373
10/2018;"LINEA 508A";143513
10/2018;"LINEA 508C";34784
10/2018;"LINEA 509";175692
10/2018;"LINEA 509C";111541
10/2018;"LINEA 51";790478
10/2018;"LINEA 510A";193051
10/2018;"LINEA 510B";867377
10/2018;"LINEA 511";317445
10/2018;"LINEA 511A";329
10/2018;"LINEA 511B";417233
10/2018;"LINEA 512";65826
10/2018;"LINEA 513";1832
10/2018;"LINEA 513A";210691
10/2018;"LINEA 514";1095650
10/2018;"LINEA 515";684491
10/2018;"LINEA 518";1343196
10/2018;"LINEA 518 LA PLATA";35348
10/2018;"LINEA 520A";728942
10/2018;"LINEA 520B";541889
10/2018;"LINEA 520C";447065
10/2018;"LINEA 521 A";255424
10/2018;"LINEA 521 AMBA ALMIRANTE BROWN";61866
10/2018;"LINEA 522";37192
10/2018;"LINEA 523";225751
10/2018;"LINEA 524";333453
10/2018;"LINEA 526";516336
10/2018;"LINEA 527";167479
10/2018;"LINEA 53";1656845
10/2018;"LINEA 532";392967
10/2018;"LINEA 540 BSAS";545975
10/2018;"LINEA 541";584234
10/2018;"LINEA 542";424362
10/2018;"LINEA 543";692905
10/2018;"LINEA 544";603851
10/2018;"LINEA 548";400174
10/2018;"LINEA 549";129754
10/2018;"LINEA 55";1057205
10/2018;"LINEA 550 BSAS";355225
10/2018;"LINEA 551";235669
10/2018;"LINEA 552 BSAS";395982
10/2018;"LINEA 553 BSAS";383678
10/2018;"LINEA 56";617307
10/2018;"LINEA 561";168238
10/2018;"LINEA 561B";40707
10/2018;"LINEA 562";361236
10/2018;"LINEA 564";468437
10/2018;"LINEA 57";1421170
10/2018;"LINEA 570";531933
10/2018;"LINEA 580";215295
10/2018;"LINEA 582";530471
10/2018;"LINEA 583";376639
10/2018;"LINEA 584";347317
10/2018;"LINEA 585";817615
10/2018;"LINEA 586";53691
10/2018;"LINEA 59";2195151
10/2018;"LINEA 6";424065
10/2018;"LINEA 60";2727324
10/2018;"LINEA 603";668937
10/2018;"LINEA 619";414603
10/2018;"LINEA 62";346001
10/2018;"LINEA 620";2850754
10/2018;"LINEA 621";1043338
10/2018;"LINEA 622";1203566
10/2018;"LINEA 624";1053082
10/2018;"LINEA 628";146431
10/2018;"LINEA 63";922278
10/2018;"LINEA 630";531828
10/2018;"LINEA 634";586367
10/2018;"LINEA 635 BS AS";276109
10/2018;"LINEA 64";884169
10/2018;"LINEA 65";900857
10/2018;"LINEA 67";959574
10/2018;"LINEA 670";1306461
10/2018;"LINEA 68";1474498
10/2018;"LINEA 7";610922
10/2018;"LINEA 70";816967
10/2018;"LINEA 707";1529285
10/2018;"LINEA 71";1470596
10/2018;"LINEA 710";837846
10/2018;"LINEA 720";2189759
10/2018;"LINEA 721";1338617
10/2018;"LINEA 722";178769
10/2018;"LINEA 723";483227
10/2018;"LINEA 74";522798
10/2018;"LINEA 740";968408
10/2018;"LINEA 741";431281
10/2018;"LINEA 749";980273
10/2018;"LINEA 75";255536
10/2018;"LINEA 76";907768
10/2018;"LINEA 78";964341
10/2018;"LINEA 79";566656
10/2018;"LINEA 8";1010936
10/2018;"LINEA 80";1470079
10/2018;"LINEA 84";713827
10/2018;"LINEA 85";1737202
10/2018;"LINEA 86";848471
10/2018;"LINEA 87";870875
10/2018;"LINEA 88";774406
10/2018;"LINEA 9";1029306
10/2018;"LINEA 90";419173
10/2018;"LINEA 91";1190678
10/2018;"LINEA 92";1535582
10/2018;"LINEA 93";653394
10/2018;"LINEA 95";723325
10/2018;"LINEA 96";1868714
10/2018;"LINEA 97";450864
10/2018;"LINEA 98";2038871
10/2018;"LINEA A";6366313
10/2018;"LINEA B";8410581
10/2018;"LINEA C";4977743
10/2018;"LINEA D";7421211
10/2018;"LINEA E";2171210
10/2018;"LINEA H";2985453
10/2018;"LINEA OESTE";1893332
10/2018;"LINEA PREMETRO";77435
10/2018;"LINEA SIN NUMERO (COOP 6 DE JULIO)";72452
10/2018;"LINEA SUR MUNICIPAL";396344
10/2018;LINEA_099;527807
10/2018;LINEA_500-503;341761
10/2018;"NORTE MUNICIPAL";604013
10/2018;"SARMIENTO DIESEL MORENO - MERCEDES";7251
10/2018;"SARMIENTO MERLO - LOBOS";97065
09/2018;BSAS_LINEA_504_ITUZAINGO;22751
09/2018;"FFCC BELGRANO NORTE";2224452
09/2018;"FFCC BELGRANO SUR";1363751
09/2018;"FFCC MITRE";77667
09/2018;"FFCC MITRE CAPILLA DEL SEÑOR";4189
09/2018;"FFCC MITRE-SUAREZ";2585889
09/2018;"FFCC MITRE-TIGRE";2560897
09/2018;"FFCC MITRE-ZARATE";4521
09/2018;"FFCC ROCA";14260532
09/2018;"FFCC SAN MARTIN";2332149
09/2018;"FFCC SARMIENTO";7187851
09/2018;"FFCC TREN DE LA COSTA";52503
09/2018;"FFCC URQUIZA";2415742
09/2018;FFCC_ROCA_CAÑUELAS-MONTE;457
09/2018;FFCC_ROCA_KORN-CHASCOMUS;3285
09/2018;"LINEA 031";1206585
09/2018;"LINEA 061";283694
09/2018;"LINEA 1";380316
09/2018;"LINEA 10";766778
09/2018;"LINEA 100";1093879
09/2018;"LINEA 101";1194439
09/2018;"LINEA 102";686231
09/2018;"LINEA 103";792647
09/2018;"LINEA 105";948290
09/2018;"LINEA 106";1104005
09/2018;"LINEA 107";984496
09/2018;"LINEA 108";595651
09/2018;"LINEA 109";791930
09/2018;"LINEA 110";1068128
09/2018;"LINEA 111";690652
09/2018;"LINEA 112";289999
09/2018;"LINEA 113";980227
09/2018;"LINEA 114";705590
09/2018;"LINEA 115";570111
09/2018;"LINEA 117";1019811
09/2018;"LINEA 118";720848
09/2018;"LINEA 12";1558304
09/2018;"LINEA 123";366029
09/2018;"LINEA 124";823828
09/2018;"LINEA 126";1164615
09/2018;"LINEA 127";602742
09/2018;"LINEA 128";615792
09/2018;"LINEA 129";1112188
09/2018;"LINEA 130";1355365
09/2018;"LINEA 132";1802393
09/2018;"LINEA 133";395691
09/2018;"LINEA 134";768077
09/2018;"LINEA 135";786457
09/2018;"LINEA 136 BS AS";601414
09/2018;"LINEA 140";309094
09/2018;"LINEA 141";707990
09/2018;"LINEA 143";459673
09/2018;"LINEA 146";821104
09/2018;"LINEA 148";2207134
09/2018;"LINEA 15";1746288
09/2018;"LINEA 150";634878
09/2018;"LINEA 151";868216
09/2018;"LINEA 152";2515157
09/2018;"LINEA 153 BS AS";321184
09/2018;"LINEA 154";142853
09/2018;"LINEA 158";432864
09/2018;"LINEA 159";2072765
09/2018;"LINEA 160";1456213
09/2018;"LINEA 161";1547478
09/2018;"LINEA 163 BS AS";369644
09/2018;"LINEA 165";876698
09/2018;"LINEA 166";1215905
09/2018;"LINEA 168";1266293
09/2018;"LINEA 169";501360
09/2018;"LINEA 17";1205960
09/2018;"LINEA 172";529950
09/2018;"LINEA 174 BS AS";778030
09/2018;"LINEA 175";394662
09/2018;"LINEA 176";2019800
09/2018;"LINEA 177";712992
09/2018;"LINEA 178";1469162
09/2018;"LINEA 179";425646
09/2018;"LINEA 180";1814297
09/2018;"LINEA 181";739316
09/2018;"LINEA 182";1173080
09/2018;"LINEA 184";607195
09/2018;"LINEA 185";392987
09/2018;"LINEA 188";910588
09/2018;"LINEA 19";686147
09/2018;"LINEA 193";186638
09/2018;"LINEA 194";635009
09/2018;"LINEA 195";284544
09/2018;"LINEA 2";876198
09/2018;"LINEA 20";410068
09/2018;"LINEA 200";111825
09/2018;"LINEA 202";1111000
09/2018;"LINEA 203";3749565
09/2018;"LINEA 204";272383
09/2018;"LINEA 204B";206802
09/2018;"LINEA 205";369669
09/2018;"LINEA 21";2161145
09/2018;"LINEA 214";617967
09/2018;"LINEA 215";213541
09/2018;"LINEA 218";921822
09/2018;"LINEA 219";679723
09/2018;"LINEA 22";615920
09/2018;"LINEA 222";141072
09/2018;"LINEA 225";33516
09/2018;"LINEA 228 B";231787
09/2018;"LINEA 228A";51800
09/2018;"LINEA 228C";245655
09/2018;"LINEA 228E";271530
09/2018;"LINEA 228F";346361
09/2018;"LINEA 23";334823
09/2018;"LINEA 236";2657357
09/2018;"LINEA 237";1661704
09/2018;"LINEA 238";558339
09/2018;"LINEA 239A";531399
09/2018;"LINEA 239B";236905
09/2018;"LINEA 24";1127870
09/2018;"LINEA 242";2379748
09/2018;"LINEA 243";100412
09/2018;"LINEA 244";289719
09/2018;"LINEA 245";201068
09/2018;"LINEA 247";1354807
09/2018;"LINEA 25";596869
09/2018;"LINEA 252";579530
09/2018;"LINEA 253 BS AS";84767
09/2018;"LINEA 256";40820
09/2018;"LINEA 257";1041315
09/2018;"LINEA 26";766999
09/2018;"LINEA 263A";270207
09/2018;"LINEA 263B";369161
09/2018;"LINEA 264";437559
09/2018;"LINEA 266";2063501
09/2018;"LINEA 269";1649097
09/2018;"LINEA 271";951513
09/2018;"LINEA 273";1230748
09/2018;"LINEA 275";719298
09/2018;"LINEA 276";1055368
09/2018;"LINEA 277";247131
09/2018;"LINEA 278";1229086
09/2018;"LINEA 28";2346087
09/2018;"LINEA 281";516790
09/2018;"LINEA 283";883083
09/2018;"LINEA 284";253609
09/2018;"LINEA 288";300820
09/2018;"LINEA 289";572990
09/2018;"LINEA 29";1027945
09/2018;"LINEA 291";692430
09/2018;"LINEA 293A";433621
09/2018;"LINEA 293B";306376
09/2018;"LINEA 295";566210
09/2018;"LINEA 297";422625
09/2018;"LINEA 298";805903
09/2018;"LINEA 299";571252
09/2018;"LINEA 300";565511
09/2018;"LINEA 302";547197
09/2018;"LINEA 303";840727
09/2018;"LINEA 304";984727
09/2018;"LINEA 306";1659714
09/2018;"LINEA 307";1054690
09/2018;"LINEA 310";212771
09/2018;"LINEA 311";931648
09/2018;"LINEA 312";559830
09/2018;"LINEA 313";85000
09/2018;"LINEA 314";1289011
09/2018;"LINEA 315";653164
09/2018;"LINEA 317 BS AS";630913
09/2018;"LINEA 318";1687973
09/2018;"LINEA 32";354196
09/2018;"LINEA 320";155003
09/2018;"LINEA 321 BS AS";217678
09/2018;"LINEA 322 BS AS";500639
09/2018;"LINEA 323";635193
09/2018;"LINEA 324";2515913
09/2018;"LINEA 325";376930
09/2018;"LINEA 326";241470
09/2018;"LINEA 327";510457
09/2018;"LINEA 328";803740
09/2018;"LINEA 329";452558
09/2018;"LINEA 33";1140472
09/2018;"LINEA 333";556724
09/2018;"LINEA 336";230069
09/2018;"LINEA 338";1829082
09/2018;"LINEA 34";1305192
09/2018;"LINEA 341";1331100
09/2018;"LINEA 343";1367738
09/2018;"LINEA 350";575530
09/2018;"LINEA 354";902350
09/2018;"LINEA 355";57506
09/2018;"LINEA 36";132573
09/2018;"LINEA 365";2607488
09/2018;"LINEA 37";1167678
09/2018;"LINEA 370";317648
09/2018;"LINEA 371";1020504
09/2018;"LINEA 372";164767
09/2018;"LINEA 373";480818
09/2018;"LINEA 378";1179839
09/2018;"LINEA 379";40792
09/2018;"LINEA 382";568356
09/2018;"LINEA 383";617382
09/2018;"LINEA 384";212492
09/2018;"LINEA 385";437328
09/2018;"LINEA 386";294616
09/2018;"LINEA 388";151183
09/2018;"LINEA 39";1535270
09/2018;"LINEA 390";287103
09/2018;"LINEA 391";684038
09/2018;"LINEA 392";206910
09/2018;"LINEA 394";655495
09/2018;"LINEA 395";559286
09/2018;"LINEA 4";702938
09/2018;"LINEA 403";30626
09/2018;"LINEA 404";888015
09/2018;"LINEA 405";480452
09/2018;"LINEA 406";823404
09/2018;"LINEA 407";458140
09/2018;"LINEA 41";1116083
09/2018;"LINEA 410";264420
09/2018;"LINEA 414";40930
09/2018;"LINEA 418";73549
09/2018;"LINEA 42";839512
09/2018;"LINEA 421";84754
09/2018;"LINEA 422";853354
09/2018;"LINEA 429";82309
09/2018;"LINEA 430";95283
09/2018;"LINEA 435";74804
09/2018;"LINEA 436";149319
09/2018;"LINEA 437";422758
09/2018;"LINEA 44";743618
09/2018;"LINEA 440";2877150
09/2018;"LINEA 441";518378
09/2018;"LINEA 443";51306
09/2018;"LINEA 443A";265350
09/2018;"LINEA 445";238734
09/2018;"LINEA 446";45844
09/2018;"LINEA 448";1473177
09/2018;"LINEA 449";675487
09/2018;"LINEA 45";850703
09/2018;"LINEA 46";700544
09/2018;"LINEA 461";101029
09/2018;"LINEA 462";90306
09/2018;"LINEA 463";491982
09/2018;"LINEA 464";325576
09/2018;"LINEA 47";829943
09/2018;"LINEA 49";369500
09/2018;"LINEA 5";867958
09/2018;"LINEA 50";704049
09/2018;"LINEA 500B";38825
09/2018;"LINEA 500C";48189
09/2018;"LINEA 500D";1489721
09/2018;"LINEA 500G";614427
09/2018;"LINEA 500H";156927
09/2018;"LINEA 501 A";1529069
09/2018;"LINEA 501B";444246
09/2018;"LINEA 501C";2509240
09/2018;"LINEA 501D";57084
09/2018;"LINEA 501E";85414
09/2018;"LINEA 501F";211231
09/2018;"LINEA 501G";4666047
09/2018;"LINEA 501H";42862
09/2018;"LINEA 501I";326976
09/2018;"LINEA 502";9998
09/2018;"LINEA 502A";8749
09/2018;"LINEA 502B";44680
09/2018;"LINEA 503";225984
09/2018;"LINEA 503 B";409075
09/2018;"LINEA 503 ESTE";974991
09/2018;"LINEA 503 ESTE LA PLATA";171796
09/2018;"LINEA 503A BS AS";1050594
09/2018;"LINEA 503C";95465
09/2018;"LINEA 503H (RIVAS)";99537
09/2018;"LINEA 504A";1794886
09/2018;"LINEA 504B";16383
09/2018;"LINEA 504C";159149
09/2018;"LINEA 505 AMBA ALMIRANTE BROWN";560348
09/2018;"LINEA 505 D";390141
09/2018;"LINEA 505C";68586
09/2018;"LINEA 505E";1894
09/2018;"LINEA 506";154002
09/2018;"LINEA 506 AMBA ALMIRANTE BROWN";951763
09/2018;"LINEA 506A";159140
09/2018;"LINEA 506B";263
09/2018;"LINEA 506F";295127
09/2018;"LINEA 507";124136
09/2018;"LINEA 507B";84294
09/2018;"LINEA 508";130679
09/2018;"LINEA 508A";125747
09/2018;"LINEA 508C";31416
09/2018;"LINEA 509";162657
09/2018;"LINEA 509C";103758
09/2018;"LINEA 51";732375
09/2018;"LINEA 510A";164396
09/2018;"LINEA 510B";772811
09/2018;"LINEA 511";155441
09/2018;"LINEA 511A";238
09/2018;"LINEA 511B";377060
09/2018;"LINEA 512";51910
09/2018;"LINEA 513";1165
09/2018;"LINEA 513A";188255
09/2018;"LINEA 514";991886
09/2018;"LINEA 515";614198
09/2018;"LINEA 518";1222531
09/2018;"LINEA 518 LA PLATA";31753
09/2018;"LINEA 520A";689055
09/2018;"LINEA 520B";487816
09/2018;"LINEA 520C";393979
09/2018;"LINEA 521 A";229386
09/2018;"LINEA 521 AMBA ALMIRANTE BROWN";65167
09/2018;"LINEA 522";40921
09/2018;"LINEA 523";201812
09/2018;"LINEA 524";310025
09/2018;"LINEA 526";450495
09/2018;"LINEA 527";151447
09/2018;"LINEA 53";1463164
09/2018;"LINEA 532";417918
09/2018;"LINEA 540 BSAS";483065
09/2018;"LINEA 541";527102
